Query Salah;Query Benar
adir di Festival Perahu Rakit;hadir di Festivall Perahu Rakit
warissan bduaya tradisional;warisan budaya tradisional
peragaan bussana;peragaan busana
pekerja bnagunan arsitektur Bali. ;pekerja bangunan arsitektur Bali. 
Wisatawan dari luar negeri;Wisatawan dari luar negeri
alunan musik kesenian;alunan musik kesenian
objekk wisata religi;objek wisata religi
dampakk positif bagi sekktor pariwisata;dampak positif bagi sektor pariwisata
elestarikan budaya Indoneisa;melestarikan budaya Indonesia
antai Berawa;Pantai Berawa
Deestinasi wisata Ccandi Borobudur;Destinasi wisata Candi Borobudur
buss parriwisata di Bali ;bus pariwisata di Bali 
memmanfaatkan potesni pariwisataa;memanfaatkan potensi pariwisata.
kualits desa wissata;kualitas desa wisata
pengembangn ppariwisata;Pengembangan pariwisata
menterii pariwisata dan ekonomi Kreatiff;Menteri Pariwisata dan Ekonomi Kreatif
